L;N;K;QBER;TAU_MISSES;REPETITIONS;EVE_SUCCESS;EVE_REPETITIONS
3;5;5;8;0;25;1;158
3;5;5;8;18;30;1;158
3;5;5;8;1;17;1;105
3;5;5;8;7;28;1;574
3;5;10;8;11;30;1;1015
3;5;10;8;13;23;1;3535
3;5;10;8;12;31;1;9421
3;5;10;8;2;11;1;407
3;5;10;8;16;23;1;5270
3;5;15;8;22;55;1;57336
3;5;15;8;17;33;1;136215
3;5;15;8;18;36;1;32857
3;5;15;8;2;8;1;36147
3;5;15;8;14;26;1;78721
3;5;20;8;7;23;1;302076
3;5;20;8;12;31;1;640156
3;5;20;8;9;39;1;40097
3;5;20;8;9;46;1;428403
3;5;20;8;15;47;1;109490
3;5;20;8;14;60;1;124313
3;10;5;8;6;36;1;2332
3;10;5;8;8;45;1;2742
3;10;5;8;2;31;1;7700
3;10;5;8;1;14;1;1081
3;10;5;8;4;44;1;4717
