L;N;K;QBER;ERRORS;QBER_TYPE;REP;TAU_MISSES;TIME;REPETITIONS;EVE_SUCCESS;EVE_REQUIRED
3;5;5;8;4;random;0;14;0.2593073844909668;34;1;126
3;5;5;8;4;random;1;10;0.10671472549438477;28;2;56
3;5;5;8;4;random;2;16;0.11273550987243652;33;1;65
3;5;5;8;4;random;3;1;0.5216057300567627;20;2;302
3;5;5;8;4;random;4;9;0.19148802757263184;33;1;102
3;5;5;8;4;random;5;2;0.18949151039123535;15;1;105
3;5;5;8;2;bursty;0;0;0.2652902603149414;25;1;158
3;5;5;8;2;bursty;1;18;0.2722597122192383;30;1;158
3;5;5;8;2;bursty;2;1;0.17455673217773438;17;1;105
3;5;5;8;2;bursty;3;7;0.900618314743042;28;1;574
3;5;5;8;2;bursty;4;18;0.10073089599609375;34;1;57
3;5;5;8;2;bursty;5;3;0.1376049518585205;11;1;80
3;5;10;8;8;random;0;15;0.4717385768890381;30;1;170
3;5;10;8;8;random;1;19;7.286527395248413;54;1;2749
3;5;10;8;8;random;2;11;3.5854125022888184;33;1;1213
3;5;10;8;8;random;3;12;7.562780141830444;30;1;2529
3;5;10;8;8;random;4;10;2.8543684482574463;32;1;1034
3;5;10;8;8;random;5;26;17.575828075408936;56;2;6392
3;5;10;8;4;bursty;0;11;2.7297792434692383;30;1;1015
3;5;10;8;4;bursty;1;13;9.640099287033081;23;1;3535
3;5;10;8;4;bursty;2;12;28.001596212387085;31;1;9421
3;5;10;8;4;bursty;3;2;1.3045120239257812;11;1;407
3;5;10;8;4;bursty;4;3;0.33809566497802734;11;1;126
3;5;10;8;4;bursty;5;16;19.000492572784424;23;1;5270
3;5;15;8;12;random;0;16;252.76881551742554;22;1;47165
3;5;15;8;12;random;1;21;214.70460319519043;38;1;47374
3;5;15;8;12;random;2;25;264.5154399871826;39;1;58812
3;5;15;8;12;random;3;12;219.63373613357544;30;1;45815
3;5;15;8;12;random;4;20;60.81133580207825;32;1;14952
3;5;15;8;12;random;5;21;128.08552956581116;34;1;29651
3;5;15;8;6;bursty;0;22;199.22175788879395;55;1;57336
3;5;15;8;6;bursty;1;17;559.7810480594635;33;1;136215
3;5;15;8;6;bursty;2;18;130.51886415481567;36;1;32857
3;5;15;8;6;bursty;3;2;125.4171085357666;8;1;36147
3;5;15;8;6;bursty;4;12;2.1352903842926025;26;1;608
3;5;15;8;6;bursty;5;14;405.4342608451843;26;1;78721
3;5;20;8;16;random;0;25;1962.766806602478;45;1;355754
3;5;20;8;16;random;1;21;1655.8437814712524;37;1;380295
3;5;20;8;16;random;2;17;1192.231528520584;31;1;272582
3;5;20;8;16;random;3;15;2108.0247235298157;32;1;478542
3;5;20;8;16;random;4;32;2860.595651626587;88;1;615006
3;5;20;8;16;random;5;34;4436.662545919418;44;1;849975
3;5;20;8;8;bursty;0;7;1558.9566826820374;23;1;302076
3;5;20;8;8;bursty;1;12;3268.5677423477173;31;1;640156
3;5;20;8;8;bursty;2;9;178.4892933368683;39;1;40097
3;5;20;8;8;bursty;3;9;1908.5564086437225;46;1;428403
3;5;20;8;8;bursty;4;15;582.4044995307922;47;1;109490
3;5;20;8;8;bursty;5;14;669.9975183010101;60;1;124313
3;10;5;8;8;random;0;17;0.47371959686279297;36;1;171
3;10;5;8;8;random;1;17;9.264267683029175;74;1;3618
3;10;5;8;8;random;2;17;4.425471544265747;41;1;1733
3;10;5;8;8;random;3;16;22.002474784851074;31;2;7133
3;10;5;8;8;random;4;14;10.816045045852661;34;1;3321
3;10;5;8;8;random;5;4;20.036439895629883;44;1;7222
3;10;5;8;4;bursty;0;6;7.635586261749268;36;1;2332
3;10;5;8;4;bursty;1;4;4.422033786773682;30;1;832
3;10;5;8;4;bursty;2;8;11.947074174880981;45;1;2742
3;10;5;8;4;bursty;3;2;32.340842962265015;31;1;7700
3;10;5;8;4;bursty;4;1;4.310977458953857;14;1;1081
3;10;5;8;4;bursty;5;4;19.55625629425049;44;1;4717
